review,rating
"My experience at Cytecare Hospital surpassed all expectations as I had the pleasure of being treated by Dr Dr Akshaye Kudpaje and Dr. Suhag.M.S.From the skilled medical professionals to the comforting atmosphere, every aspect of my care was top-notch. I am forever grateful for the compassionate care I received and will always hold Cytecare in the highest regard.Miss Ruchiras kindness, professionalism, and attention to detail made a significant difference during a challenging time.",5
Nice experience in pet CT department thanks to all team and Martina and Anushka sabeeha Ashwini and all team,5
Nice Pharma well stocked up with medicines and related products. Excellent staff and domain knowledge. In comparable service level . Highly recommended for yelhanka residents . Sorry to no discount sale and no cut strip giving . It's advisable to give cut medicine please. My blessings to you pharmacist role at desk. Thank u mam...,5
Top class treatment for the patients and the canteen also provides food for the attenders and visitors.Highly satisfied with the behaviour and service of canteen head Umesh.,5
"Rascal Dr Prasad Narayanan is 1 of the worst, dish1st, and corrupt doctors in this hospital.After being referred by Dr Poovamma C U to meet Dr Prasad for the next plan of treatment for my mothers breast cancer condition, this rascal doctor instilled a lot a fear in us and told us to get admitted immediately to the hospital for lung fluid tapping. This was totally unnecessary since radiation was going on and Radiation oncologist had clearly told us not to get any procedure d1 during radiation. This cheap and m1y minded Dr Prasad also recommended Chemotherapy which was totally not a right approach since my mother was Her2 -ve and other better approaches are currently available which this ignorant and pathetic doctor is not aware of.Though the hospital premises and facilities are hygienic and to international standards, this hospital consists of some inexperienced, not patient centric, and unemphathetic doctors.My request to all the patients - Please take a second opinion, dont blindly believe these doctors who force you to get treatments just to follow the hospital protocol and meet the hospital revenue targets. Unfortunately, We are in a sad and corrupt state of medical world today.",1
Thank you Cytecare hospital for taking care very well i am satisfied with ur caring thankyou Dr.PunyaThank you F&B team take care well,5
I have got the best hospitality from ur side Mr.nandan and mis. martina have responded very good to us,5
"God of gastro,",5
Thanx u open pharma madam. Ur explain gomph tobatake my dosa,5
Good,5
We want to express our heartfelt thanks to Dr.Prasad.He always responds to our messages for any small thing. We are blessed to have a doctor like he. Would definitely recommend andFood and beverage thank you Mr.Manju. He taking care wellThanks to all the staffs of Cytecare hospital for this wonderful journey,5
wast hospital,1
"Best professional and caring service. I unfortunately visited a different hospital for my father in Bangalore before visiting cytecare. However, even though we came late, the doctors and nurses here did a very good job in the treatment.Special mention for the patient care services who are a thorough professional.",5
"My recent experience at Cytecare hospital while admitting my father for a liver resection, following a diagnosis of liver cancer, was nothing short of exceptional. From the moment we arrived until discharge the hospital staff consistently demonstrated outstanding courtesy and attentiveness.I cannot speak highly enough of Dr. Adithya V Naragund and Dr. Sharath whose expertise and professionalism were evident throughout our interaction. He not only clarified all our questions but also performed the surgery with precision, ensuring a successful outcome. I am immensely grateful for his skillful care.Additionally, I extend my special thanks to Dr. Rama Mohan Reddy for his unwavering support and guidance during this challenging time.The overall experience at Cytecare hospital was overwhelmingly positive. The dedication and compassion exhibited by the entire hospital staff, from nurses to administrative personnel is exceptional.Thank you to every1 at Cytecare for your dedication to excellence in healthcare.",5
This is the good hospital for cancer treatment.There is Excellent doctors and helpfully staffs.,5
I had a very good experience in this hospital. The staffs and doctors are very friendly and well mannered.I will highly recommend this hospital for cancer patients.,5
"Cyte care is a good cancer hospital,with Friendly staffs and good doctors .",5
Hospital facilities doctors and staffs are good.i recommend cytecare for cancer treatment in bangalore,5
Sahid AliI have recently treated in cytecare and I really appreciate the service and food test was amazing.Thank you for service and care,5
"This is 1 of the BEST place if you need best in class treatment for CANCER patients.We had an amazing experience with DR. ADITHYA V NARAGUND, DR. PRASAD NARAYANAN and the whole team, including Keerthana- were professional,compassionate and kind- acknowledging all associated fears even before the first cut.",5
Worst experience ever with the management,1
Sushma from the insurance department has been of great help every visit. She is a great asset to your hospital,5
Excellent,5
This was the best hospital in Bangalore for the cancer treatmentThe service that I recieve from Doctors is excellent..And the Doctor Coordinator Shyam was very Friendly and always helpfull..,5
"Excellent service, staff r caring and good",5
"Cytecare hospital canteen. Very good and tasty food they provide. Especially Mr karan gupta who serve the food and other essential eatable items to the patients in the ward is extremely sincier and very good , polite and respectable behavior to the patients. He serves the eatables very quickly and without any delay to the patients.",5
Good treatment with Dr. aditya and support staff helped a lot in the process of recovery.,5
"I was here for my wife's chemo.1 of the most efficient, humane, professional medical care centre for cancer treatment.I was very pleasantly surprised by the values and culture of care with politeness and smile. I want to particularly mention Dr. P Narayanan for his expertise, experience and patience in explaining the course of treatment, challenges and protocols. His ability to emotionally connect with the patient and put her at ease. Dr. Poovamma for her spirit and demeanour to instill confidence, Ms Anisha D'Souza and Ms Mamtha for their help. And all the staff who assisted us.",5
"I have experienced a very good service at Cytecare hospital FNB (food & beverage ) especially the milk ginger tea, dal and Binyamin dishes delivered by Sahid Ali team member who always took care and provided a.very good caring of me and my family.",5
Very good treatment n good service at all departments,5
"No words to say ,it is 100% best lab in south India.",5
"Very comforting , great diagnosis and surgery.Courteous staff , easy check in and easy check out process, courtstey received from staff, nurses , housekeeping, Doctors , security....every1 - very professional system with kindness ingrained into the culture of CytecareApart from all the comfort, gratitude to Dr Poovamma for the surgery of my mother ??",5
Visited for annual medical checkup.Process was easy and staff response was very good.Even the doctor's prescription and details was crisp and clear.,5
Good all daycare staff,5
Very happy with service by cytecare,5
So happy with Dr aksahy and his team,5
Very good,5
Cyte care pharmacy service is good. Ml priyanka activity is amazing. Thank you team cyte care...,5
Very happy with Dr Akshay and his team .thanks to all for your support,5
"Cyte Care Hospital provides excellent and efficient care, with both staff and medical professionals demonstrating commendable expertise and dedication.However, there is room for improvement in the insurance department, as they could be more proactive in assisting patients with their insurance-related matters.Overall, I would recommend Cyte Care Hospital for their outstanding medical services, despite the need for enhancement in the insurance department's efficiency.",4
Excellent caring,5
Op pharmacy team excellent.thank u for your service,5
It's very good service of the member of cytecare.The staff like Bapan mondalHari Kumar is very active in their role.thanks cytecare,5
"Cytecare cancer hospital is very good and all doctor and staff is so nice , it's very helpfull nature.",5
I appreciate all the staff from pharmacy Cyte care.Mr Mansoori arranged my mother medicine with in 6 hours of request.which I cannot get from any pharmacy from long waiting cyte care is good hosiptal i suggest,5
I appreciate all the staff from pharmacy cytecare.mansoori arranged my medication with in 1 day for my mother,5
Thank you good service giving to staff I like it thank you so much,5
"MrN 030906, Appreciate all staff from Security, Radiology & PET CT scan. Mr Farwaz has hospitality and subject knowledge & well explained. Ms Sangeetha has also explained us what needs to d1 after reaching home.",5
The surgery and duty doctors are very good and the services in the hospital are very good. All the staff are very kind especially Ashwini and Ramanjinamma from patient care unit were very helpful and caring. The nurses wre very cooperative and caring through providing their sevice to the patient. The house keeping always came to do their jod professionally. The pantry staff are always supportive and helpful during providing their sevice.,5
Pharmacist Ml Priyanka provides an excellent service advice guidance or simply getting a specific medicine very good pharmacist,5
"Rajesh behaviour is too good, each n every food service persons are friendly and helpfull.Food quality was good.",5
Consulted the Dr harish he explained well and Miss rekha guided us very well,5
Dr.akshay and team is excellent.,5
I'm taking a moment to appreciate.. Food and Beverage Department in Cytecare HospitalPatient food Was Served very NeatlyFood and service was excellentThank you cytecare hospital.Giving me and best,5
"I consulted Dr. Akshay Kudpaje at Cytecare for my wife, regarding a growth in the parotid gland. In spite of the gravity of the issue we were dealing with, I would say experience at Cytecare was quite pleasant. We are happy that we consulted Dr. Akshay who did right diagnosis and treatment. He was very kind and friendly, heard us well and understood the patient and her condition properly. My wife had to undergo a surgery, lead by Dr. Akshay & team. All went well, like a text book case.Apart from that, entire facility at Cytecare is professionally well managed, starting from security to doctors, nurses, helpdesk, billing etc. Special thanks to Syam for coordinating between us, doctor and the other facilities. And Mamatha at Insurance Helpdesk who made the claim process super smooth, that too with a public sector Insurance company.Thank you Cytecare !",5
"I recently received treatment at Cytecare Hospital and was incredibly impressed with the level of care and facilities provided. The medical staff were highly skilled and compassionate, ensuring that I felt supported throughout my journey. The hospital's state-of-the-art facilities contributed to a comfortable and efficient recovery process. I highly recommend Cytecare Hospital to any1 seeking top-notch treatment and care",5
"Very friendly staffAnisha, Neethi, Sushma, Mamatha, sister wan, Jubin brother, Mohan brother were very helpful. All the security ppl were humble and kind.",5
highest experience,5
"Excellent team , great hospital",5
"I have visited many hospitals in Trivandrum, Cochi, Chennai and this hospital - Cytecare Hospital - l found this hospital most customer related, caring, fast work d1. International relations is fentastic.I thank all staff there at the hospital.",5
Best treatment hospital for cancer patients,5
"Nice ambience, efficient service and excellent food.Good doctor's and overall services are good.Special thanks to Mr. Rajesh",5
ML Priyanka provide good service very active wonderful,5
In cytecare hospital especially should discuss about pharmacy ML Priyanka she has good patience excellent she provided good service,5
ML Priyanka is having very good knowledge she is very active and hard working women she provides good service excellent,5
Good experience with the hospital and as well as well maintained cafeteria at 6th floor and good service by Umesh at cafeteria,5
Ml priyanka mam response very good in pharmacy superb,5
All staffs are good in day care,5
ML Priyanka in cytecare pharmacy provide me good service she is very talented bcz she can speak several languages anyway thanks to cytecare to provide good employe like ML Priyanka,4
Rashmi Priyanka and subha in op pharmacy dispensary is expressive and help to get new medicine very quickly from procurement department excellent ??,5
"Very good hospital, excellent, clean ambience, very polite and courteous staff, efficient doctors...but...their pharmacy is pathetic inefficient staff, looks novices.",4
Kasmiralam s service was great!,5
Dr.sharath was excellent.,5
Doctor is good but pharmacy is very bad they took 45 mins just to give prescription medication. The same experience i have when go to pharmacy every time.,1
Nuclear Medicine Department is OVER ALL well maintained meticulsoly truly on global standards.Nurse Sabeeha and Attendent Ashwin too are caring with human touch in their designated roles.Above all Dr. NARAYAN PRASAD who is of few words always has a MICRO CLARITY on the patient and guides meticulously on the path of full recovery of the concerned patient. God Bless Him Abundatly and the CYTE CARE TEAM. Wishing more CYTE CARE to spread it's establishments in the states of india .,5
"My mother diagnosed with Grade 3 Breast Cancer 5 yrs ago, she is completely cured now. Thank You Cytecare ! (MRN No. 7689)",5
Excellent pharmayc! Especially Pryanka,5
I am happy with all hospital services. Medical representative Ms ML Priyanka also helping nature.,5
Op Pharmacy department so strong team and supportive .my special thanks to pharmacist ml.priyanka she help me a alot I'm happy with her by communicating in my language....,5
"Taking CHEMOTHERAPY treatment from past 8 weeks .My father was not able to eat , talk but after 4 weeks of treatment he was able to eat , talk and even he is walking now.Thanks to whole oncology team of Prasad sir, speech and swallow Therapist bigi mam and lakshmishree madam.Nutritionist department and also mental care department sonal madam.Thanks to Cytecare hospital wholeheartedly.",5
"Experienced was good, well experience doc",5
"Thanks to radiation therapy department for the Excellent service. Especially I want mention Mrs Akshita, and ms Jayalakshmi for your best service.FromNaraynappa",5
"Hi Neethi,Hope youre doing well!I like the way you interacted with us and the way of communication is really tooo good , thanks for your service in Cytecare hospital",5
(Translated by Google) Sabeeha and Sangeeta are the best in their job. Martina and Anusha did help .e. all the best to Cytecare Staff(Original)Sabeeha and Sangeeta are best in their job. Martinaa and Anusha did help .e. all the best to cytecare staff,5
Very nice experience with Dr Akshy and his team,5
All staff are good in day care especially mention by amulya and sushma,5
Good services special menti1d amulya and sushma in day care,5
Radiation department staffs are very helpfull.we will highly recommend cytecare hospital for best treatment.,5
Cytecare is the best hospital for cancer patient i have brought my cousin in to this hospital he had found with CML Cancer and the doctors given a treatment and cured within 1 month with good Result now me and my family members are very happy and Doctors and their assitances are really very Good and Discipline. I Really suggest this hospital good and best for any diagnosis will be cured ??????????????,5
Very good Hospitality,5
Well experience docter and very friendly,5
Well treated,5
Best experience with doctor and staff. I suggest every cancer patients to get treatment here,5
This is 1 of the best place if you need best in class treatment for cancer patients. Dr. Harish is 1 of the most sought after medical oncologist in bangalore. He is very generous with patients and always available for you. His team is very cooperative and kind to patients.,5
In day care all staff are very good especially menti1d sushma mamtha Sathya dr harish,5
It's great hospital and good staff and are very politely care of patients,5
I consulted doctor suhas and he explained very well and Miss rekha cordinator guided us wellThank you cytecare hospital for porviding the staffs like them,5
"Worst hospital ever staffs are not treated in proper way ,looks like managers are not enough capable in handling staffs properly .",1
Very good hospital and the great treatment.,5
Good service Hephziba from daycare taken good care,5
Dr.Akshay is 1 of the best doctor. He explained all the process before the surgery. We would like to thank Dr Akshay and all his team at cytecare.,5
"We had good experience with cytecare, doctors and staff are very helpful and provide great care to the patients.",5
Awesome service provided by the IP Team.Special shoutout to Rashmi - Floor Coordinator & Mamtha - Insurance,5
Thank you foe thr entire staff for your warmth welcome with a smile.,5
Good kalchar super speciality hospital ?,5
Good service and hospitality and Very nice experience with cyetcare,5
"It's very nice experience with Dr Krishnamurthy ,and Dr Akshay ,very humble people and they are ready to listen what we are telling ,Thanku all team of Dr Akshay and Dr Krishnamurthy ...",5
nice,5
Good experience,5
Very nice experience with dr Aksahy and his team,5
Thank you very much Dr and Team. Excellent service,5
We are very happy with the hospital and services provided.,5
Very good experience,4
"We had an amazing experience with Dr Aditya, Dr Sharath and the whole team, including Keerthana- were professional, compassionate and kind- acknowledging all associated fears even before the first cut. Any1 reading this is sure to know how important it is for patients to believe in their own recovery and this team made sure of this. The ICU team was great too- super attentive, energetic and cheerful.Similarly the ward staff, nurses, the friendliest security guards, admin - truly, thanks for being a part of this journey with us, we felt taken care off and in good hands.",5
Very good tritment I am happy to support over all good thank you so much,5
Thank You Cytecare Hospital . Highly Recommended . Special thanks to Dr Poovamma and the whole tram,5
Thank u Dr Poovamma for treating my wife so well. Actually we were very scared before but after meeting you all just went all well. Thank s Neethi ...Highly recommended.,5
"The overall experience was very good. The doctors were hands on and the nursing staff was supportive.The hospital is keen on receiving and accepting feedback. Overall, comfortable and hygienic. Thanks again to the hospital for their services and treatment.",5
"My dad was diagnosed Colon cancer, we wanted best treatment for him and did not wanted anything to go wrong.God is great, we got to know about Cytecare hospital and visited for the time. We met Dr.Adithya Senior Consultant -GS and HPB surgery, master in surgery, while we talking to him we got the confidence that we are in good hands.Dr.Adithya V Naragunda is amazing and gave the confidence throughout, his positive and wonderful advice was immense. He made sure that we were out of all sorts of stress and tension.We are hugely thankful to Dr.Adithya sir and his entire staff who took care of my dad very well like new born baby ????.Special thanks to Keertana for easy communication with doctors, whole insurance and billing team, they were so helpful.Big thanks to nursing staff, special mention to sister Shyla who was amazing care taker also thanks to all caretaker boys and security team.I must say Cytecare hospital is 1 of the best hospitals in Cancer treatment, it has most experienced and professional staffs.Thank you Cytecare for giving re-birth to my dad. ????",5
Friendly staff. Good service,4
Best center for cancer cure,5
I enjoyed the reception at the radiology pet ct staff for professional handling of my case today. The cannular was inserted by Sabeeha and it remained intact throughout the pet procedure. I felt like at home and will recommend the Hodpital to my colleagues at home in Tanzania . God bless the team and the entire hospitalProf. Buza,5
Iam feeling too much happy about cyte care cancer treatment.,5
"Good service ,nice staff",5
1 of the best cancer hospital.Dr.Akshay and his team is excellant I'll be very thankful to doctor.,5
Dr Akshay is a good doctor and his staff is also suppotive . especially shyam broo..,5
Had a nice experience in radiation department Dr Surendra Reddy and dr Pooja all team members are awesome especially akshitha Naveen and jayalakshmi thank you for your support.,5
"The care is excellent, medicines on time,Dr aditya and Dr sharath kumar treatment my father nicely its been good to see my father as usual before",5
Thanks to Dr Ram Mohan Reddy &Team.,5
"Dr Rashmi,Aparna, Asiya,Martina,Marbha& Anusha Thanks to Radiology team.(Translated by Google)Dr Rashmi, Aparna, Asiya, Martina, Marbha & Anusha Thanks to Radiology team.",5
Ms Sangeeta and Bhavani were very efficient and helpful.,5
"Highly recommended Cytecare for cancer treatment. Akshitha at the Radiology department was of immense help from beginning of the treatment, she took care of the entire insurance process. I just had to send her the documents and rest was hassle free unlike in other hospitals where youll have to take multiple trips to the insurance desk. Dr. Surendra Reddy was very supportive and well explained the process of radiation and its side effects and planned the treatment. Dr Pooja, Jayalaksmi, Goutham, Naveen also were of great support throughout. We could reach out to them anytime. The friendly and helpful staff, along with the continuous support from the doctors during radiation treatment, contributed to a comforting environment. The importance of compassionate care in such challenging times is well understood by the hospital and staff.",5
"The Hospital faculty, staff and services are good including the nurses. Overall it's a great experience and the food court needs to be improved and the hospital is expensive.",4
Good hospital here doctors and attenders r good care takers v had good experience,4
Excellent & efficient staff.,5
Thanks to Radiology team,5
"The best hospital for Cancer treatment. I brought my husband here in October and started treatment with Dr. Prasad Narayana. Our first meeting with doctor made us all feel very comfortable. I would also like to acknowledge Ms. Anisha, Ms, Amulya, Ms Sushma and all the nursing staff in the chemotherapy unit. The house keeping staff are good. The cafeteria staff is very polite. I would recommend this hospital for any 1 with Cancer",5
"Hospital is very neat and clean. Great experience , the doctors are highly experienced very supportive staff and I highly recommend this hospital and doctor Poovamma who is a very kind and humble person, special thanks to her.",5
Dr.Adithya and Dr.Sharath is very good the hospital is very well maintained I would like to thank the entire team of Dr.Adithya.,5
This hospital is providing very good service. My mother is very happy about treatment.Dr Harish and Rekha Madam are very supportive.,5
Super service,5
Very happy with Akshay sir in cytecare hospital,5
Very happy with service by Dr Akshay and his team,5
The hospitality and treatment in Cutecare hospital is simply outstanding. Would recommend others if need be.The care with which Dr Harish and his Coordinator.Miss Rekha handled the patient Mr Lakshmi Narasimhaiah is superb and no words match their care.,5
Good service about Harish sir and their team,5
"I am glad that I have been to cytecare with my for the first time the service which they give is excellent from the registration to till the scan was Awsum.My mom was worried and tensed towards her scan. Special Thanks to the Dr Rashmi,Asiya,Bilo and nurse we can see smile face on staff were patient get positive feeling to the patient ??",5
"Dr.Poovamma has been greatly helpful throughout the course of the treatment. She is kind, affectionate and diligent in her efforts .Thank you!",5
It has been a good experience at Cytecare Hospital. Dr. Poovamma has been really kind and helpful throughout the course of the treatment. The treatment and all the amneities in the Hospital are of high quality. Thank you!,5
Cytecare provides premium services to their patients. Doctors are available in times of need.,5
Its a great place and we can be assured of the guidance provided . Very warm and friendly staff .,5
I was satisfied with the service of this hospital. Had consulted with Dr Harish and miss Rekha was very supportive,5
We are happy with the services.,5
We will be very grateful to provide the service to your hospitals,5
"I'm happy with service of Cytecare hospital specially with the Dr Harish & Rekha coordinator!!Sushma, Security Yashodha and Daycare Team!Mamtha & Sachin Insurance Team!Akshitha, Jai Lakshmi & Radiation Team!All the Securities Team!",5
"Excellent service,smiling facesExceptional",5
"Thanks Mr naveeen for recommending cytecar hospital . We had good experience in radiation department. Thank you very much for Dr pooja ,Akshita shetty ,Jayalakshmi.",5
Patient had to bear rude behaviour. High costs. 0 empathy from staff. Doctor didn't even open the reports and check. False negative reports were obtained from tests d1 here. Negligence shown during consultation.,1
Thanks to Dr Ram Mohan Reddy & team,5
"Dr Suhas is very experienced, gives ample time to discuss and explain the problem and solutions to the patient. I would highly recommend visiting him.",5
"Hello All, I would like to thank Dr Narayan Prasad and Anisha and all support staffs.My mom is taking treatment, till now we are satisfied of their services.After completion of pet scan we were really scared but after meeting with Dr Narayan Prasad we got immense confidence from him and he appeared like god.Hopefully my mom is getting right treatment and soon she will be alright.I would like to mention special thanks to Anisha mam, her patience is really commendable, she has supported a lot without any hesitant.I pray for every doctor and staffs of their healthy life. Thank you again.",5
Good service,5
Rendition department very good service by akshitha,5
Radiology department was excellent every1 was very cooperative,5
Very comparative medication satisfied an Happy,5
Nice Experience,5
Good hospital and radiology department thank u all staff sister sabeeha martina and sarath and ashiwini pca tq all,5
I visited this hospital for my dad under dr Akshay nice treatment thank u staff sister sabeeha and Martina and Ashwini pca thank u all,5
Dr.akshay kudpaje is excellent in treating the patient. Lokesh is very helping and good nature. Overall recommend this hospital.,5
Excellent service and all staffs very very good.,5
"Thanks to Radiology team Specisl Thanks to Dr Rashmi,Marbha,Sabeeha,Martina & Asiya",5
"I have being this hospital with my mom it's really good excellent experience, lovely staff very clean hospital , service was given by sabeeha sister she was very caring and friendlyNice atmosphere with friendly and caring service.??",5
Nice staff in pet ct staff sister Sabeeha e good in canualization and sister Marva for helping her Tq,5
Coordinator Neeti is so helpful and prompt in sharing informations. All the staffs and caretakers were so kind and compassionate. They make sure that the patients feel so comfortable.Dr. Poovamma is so good in explaining everything in layman's term to us prior to surgery. She is 1 of the best and efficient doctor in the city.,5
"I highly recommend Cytecare Hospital in Bangalore. From the moment I contacted the international counter, the entire process was handled with utmost professionalism.Ms. Ruchira provided exceptional care, being available around the clock and efficiently scheduling appointments. Dr. Sherayas, an outstanding urologist, successfully performed my father's prostate surgery. Additionally,Dr. Mohan B consistently offered attentive care, visiting regularly and providing valuable advice. I'm deeply grateful for the excellent care they provided to my father.",5
"We are very satistied with the care provided for my father from CytecareHospital. Special thanks to International counter staff Ms. Ruchira for her positive attitude and guiding us throughout the hospital stay and with consultations. Dr. Shreyas, Dr. Mohan B.A and Dr. Mohan keshavamurthy, I can't thank you enough for the special, and excellent care you provided for my father.",5
Iam very happy with cyte care.....,5
Very good experience,5
"Thank you for the treatment. We very much Thankful to whole hospital service from the security, Doctors, nursing station admin. Even we are Thank full to patent care staff and house keeping staff.Thank you once again I strongly recommended Cytecare hospital",5
"Radiation department team is excellentAkshita, NAVEEN,Jayalakshmi,Dr Pooja Dr Surendra reddy, all other team members .",5
Very humble people and very cooperative,5
Please send cyte lab mobile no,1
Good hearted people are there,5
"Hospitals should be like this,the doctor and the staffs are so friendly that we really will forget that we are In a hospital",5
"All doctors, nurses, house keeping, securities are very supportive, thank you cyte care team for being supportive and helpful all the time. Excellent doctors in treating cancer patients.",5
good service,5
